Name,Prerequisite,Benefit,Special,Source Book,PDF Page
Extraordinary Trapsmith,Craft (trapmaking) 9 ranks,Reduce cost of making a trap by 25%; 50% if kobold,,Races of the Dragon,
Eyes in the Back of Your Head,"Wis 13, base attack bonus +1",Opponents do not gain flanking benefit,,Complete Warrior,
Fade into Violence,"Bluff 6 ranks, Hide 6 ranks","Foe strikes ally, not you, if your Bluff check succeeds",,Player's Handbook II,
Falling Sun Attack,"Stunning Fist, one Setting Sun strike","Make Setting Sun strike a stunning attack, +1 to DC of stunning attacks and Setting Sun strikes",,Tome of Battle,
Far Shot,Point Blank Shot,Increase range increment by 50% or 100%,Fighter Feat,Player's Handbook,
Faster Healing,Base Fortitude save bonus +5,Heal hit points and ability damage faster than normal,,Complete Warrior,
Favored,"Membership in guild, organization, or church","You gain benefits to organization-related skills, as well as organization-specific advantages",Multiple,Cityscape,
Favored Magic Foe,Knowledge 6 ranks or favored enemy class feature,Magic is more effective against a particular creature type,Multiple,Complete Mage,
Favored Mystery,Ability to cast mysteries,Chosen mystery becomes easier to cast,"Shadowcaster Feat, Stackable",Tome of Magic,
Favored Power Attack,"Favored enemy ability, Power Attack, base attack bonus +4",Trade attack bonus for damage at greater rate against favored enemies,,Complete Warrior,
Favored Vestige,Soul binding,\+1 binder level with specific vestige,Multiple,Tome of Magic,
Favored Vestige Focus,Favored Vestige,\+1 DC with favored vestige abilities,Multiple,Tome of Magic,
Fearless Destiny,"Human or half-human, Heroic Destiny, character level 6th",Avoid death once per day,,Races of Destiny,
Fearsome Necromancy,Spell Focus (necromancy) or necromancer level 1st,Necromancy spells leave foes shaken,Wizard Feat,Complete Mage,
Fiendish Summoning Specialist,"Knowledge (the planes) 2 ranks, Knowledge (religion) 2 ranks, nongood alignment, summon monster ability",Summon additional evil-aligned creatures,,Planar Handbook,
Fiery Fist,"Dex 13, Wis 13, Improved Unarmed Strike, Stunning Fist, base attack bonus +8","Expend Stunning Fist use to cloak fists, feet in fiery energy for +1d6 damage","Fighter Feat, Monk Feat",Player's Handbook II,
Fiery Ki Defense,"Dex 13, Wis 13, Fiery Fist, Improved Unarmed Srike, Stunning Fist, base attack bonus +8","Expend Stunning Fist use to cloak self in flame, damaging any who strike you","Fighter Feat, Monk Feat",Player's Handbook II,
Fists of Iron,"Improved Unarmed Strike, Stunning Fist, base attack bonus +2",\+1d6 damage on unarmed attacks,,Complete Warrior,
Flay,"Str 13, Power Attack",Inflict painful wounds on unarmored targets,Fighter Feat,Player's Handbook II,
Fleet of Foot,"Dex 15, Run",Make on direction chage during run or charge,,Complete Warrior,
Flick of the Wrist,"Dex 17, Sleight of Hand 5 ranks, Quick Draw",Cause opponent to be flat-footed for one attack,,Complete Warrior,
Flick of the Wrist,"Dex 17, Sleight of Hand 5 ranks, Quick Draw",Catch your opponent flat-footed by drawing your weapon and attacking in the same round,,Races of the Wild,
Fling Ally,Rock Hurling,Throw a friend into another square,,Races of Stone,
Fling Enemy,Rock Hurling,Throw an enemy you're grappling,,Races of Stone,
Flying Kick,"Str 13, Jump 4 ranks, Improved Unarmed Strike, Power Attack",\+1d12 damage on unarmed attacks when charging,,Complete Warrior,
Focused Lexicon,"Truespeak 6 ranks, ability to speak utterances",Your utterances are more effective against one creature type,Multiple,Tome of Magic,
Focused Mind,"Elf, Concentration 2 ranks",\+2 bonus when taking 10 or taking 20 on Intelligence checks,,Races of the Wild,
Foe Specialist,"Base attack bonus +4, sneak attack +1d6",\+1d6 sneak attack damage against one creature type,Multiple,Miniatures Handbook,
Font of Life,Living creature,Gain an extra save to avoid energy drain,,Heroes of Horror,
Force of Personality,Cha 13,"Add Cha modifier, rather than Wis modifier, to Will saves",,Complete Adventurer,
Force of Will,Iron Will,Make a will save instead of Fort or Ref against psionic powers,,Expanded Psionics Handbook,
Freerunner,Any two movement skill tricks,"Learn two movement skill tricks, increase skill trick limit by one",,Complete Scoundrel,
Freezing the Lifeblood,"Wis 17, Improved Unarmed Strike, Stunning Fist, base attack bonus +10",Paralyze opponent with unarmed strike,Fighter Feat,Complete Warrior,
Frightful Presence,"Cha 15, Intimidate 9 ranks",Gain fightful presence ability,,Draconomicon,
Generous Sacrifice,"Evil, Con 15",Donate negative levels to a willing target,,Exemplars of Evil,
Gnoll Ferocity,"Gnoll, rage or frenzy ability",Gain bite attack for 1d6 points of damage,,Races of the Wild,
Gnome Foe Killer,Gnome,Gain +2 bonus on weapon damage rolls against kobolds and goblinoids,,Races of Stone,
Goad,"Cha 13, base attack bonus +1",Cause target to attack only you,Fighter Feat,Complete Adventurer,
Goad,"Cha 13, base attack bonus +1",Cause enemy to make melee attacks only against you,Fighter Feat,Races of Stone,
Great Cleave,"Cleave, Power Attack, base attack bonus +4",No limit to cleave attacks each round,Fighter Feat,Player's Handbook,
Great Fortitude,-,\+2 bonus on Fortitude Saves,,Player's Handbook,
Greater Corrupt Spell Focus,"Corrupt Spell Focus, nongood alignment",\+2 to save DC for all corrupt spells you cast,,Heroes of Horror,
Greater Heavy Armor Optimization,"Armor Proficiency (heavy), Heavy Armor Optimization, base attack bonus +8",Reduce armor check penalty by 2 and increase armor bonus by 1,Fighter Feat,Races of Stone,
Greater Kiai Shout,"Cha 13, Kiai Shout, base attack bonus +9",Foes who hear your shout may panic,,Complete Warrior,
Greater Manyshot,"Dex 17, Manyshot, Point Blank Shot, Rapid Shot, base attack bonus +6","Shoot 2 or more arrows simultaneously, even at separate targets",Fighter Feat,Expanded Psionics Handbook,
Greater Path Focus,Path Focus,Additional +1 bonus to caster level and save DC,"Shadowcaster Feat, Multiple",Tome of Magic,
Greater Powerful Charge,"Medium or larger, Powerful Charge, base attack bonus +4",Additional extra damage when you charge,Fighter Feat,Miniatures Handbook,
Greater Resiliency,Damage reduction ability,Increase damage reduction by +1,,Complete Warrior,
Greater Spell Focus,-,\+1 bonus on save DCs against specific school of magic,Multiple,Player's Handbook,
Greater Spell Focus,Spell Focus,,Multiple,Tome and Blood,
Greater Spell Penetration,Spell Penetration,\+4 to caster level checks to defeat spell resistance,,Player's Handbook,
Greater Spell Penetration,Spell Penetration,,,Tome and Blood,
Greater Two-Weapon Defense,"Dex 19, Improved Two-Weapon Fighting, Two-Weapon Defense, Two-Weapon Fighting, base attack bonus +11",Gain shield bonus when fighting with two weapons,Fighter Feat,Complete Warrior,
Greater Two-Weapon Fighting,"Dex 19, Improved Two-Weapon Fighting, Two-Weapon Fighting, base attack bonus +11",Gain third off-hand attack,,Player's Handbook,
Greater Weapon Focus,"Proficiency with weapon, Weapon Focus with weapon, fighter level 8th",\+2 bonus on attack rolls with selected weapon,"Fighter Feat, Multiple",Player's Handbook,
Greater Weapon Specialization,"Proficiency with weapon, Greater Weapon Focus with weapon, Weapon Focus",\+4 bonus on damage rolls with selected weapon,"Fighter Feat, Multiple",Player's Handbook,
Green Ear,"Perform 10 ranks, bardic music",Affect plants with your bardic music ability,,Complete Adventurer,
Grenadier,-,\+1 on attacks and damage with splash weapons,Fighter Feat,Player's Handbook II,
Gruesome Finish,Base attack bonus +6,Give up remaining attacks to make a disabled foe die instead,,Exemplars of Evil,
Guardian Spirit,Watchful spirit class ability,"Reroll initiative two times per day, reroll any save 1/day",,Complete Arcane,
Guerrilla Scout,-,\+1 bonus on initiative checks; Listen and Spot ranks cost 1 skill point,,Heroes of Battle,
Guerrilla Warrior,-,Reduce light or medium armor check penalty by 1; Hide and Move Silently ranks cost 1 skill point,,Heroes of Battle,
Hamstring,"Sneak attack ability, base attack bonus +4",Trade 2d6 sneak attack damage to cut opponent's speed in half,,Complete Warrior,
Hasty Spirit,Watchful spirit class feature,"Gain an initiative reroll, extra move action after using reroll",,Complete Mage,
Haunting Melody,"Bardic music class feature, Perform 9 ranks",Bardic music inspires fear,,Heroes of Horror,
Hear the Unseen,"Listen 5 ranks, Blind-Fight","Pinpoint a target's location by sound, not sight",,Complete Adventurer,
Heavy Armor Optimization,"Armor Proficiency (heavy), base attack bonus +4",Reduce armor check penalty by 1 and increase armor bonus by 1,Fighter Feat,Races of Stone,
Heavy Lithoderms,Goliath,Natural armor increases by 1,,Races of Stone,
Heavyweight Wings,"Str 15, Reinforced Wings, wings and a glide or fly speed",Fly with heavy armor or a heavy load,,Races of the Dragon,
Heighten Spell-Like Ability,Spell-like ability at caster level 6th or higher,Use spell-like ability at higher level up to 3/day,Multiple,Complete Arcane,
Heroic Destiny,Human or half-human,Add +1d6 to d20 roll once per day,,Races of Destiny,
Hindering Opportunist,"Combat Reflexes, base attack bonus +3",Replace attack of opportunity with aid another,,Player's Handbook II,
Hold the Line,"Combat Reflexes, base attack bonus +2",Make attack of opportunity against charging foe,,Complete Warrior,
Hostile Mind,Cha 15,Automatically deal damage to telepathic foes,,Expanded Psionics Handbook,
"Hostile Mind, Improved","Cha 15, Hostile Mind",Deal 4d6 damage to telepathic aggressors,,Complete Psionic,
Human Heritage,"Half-human or human-descended race, 1st level only",You gain the human subtype and 4 skill points,,Races of Destiny,
Hurling Charge,"Quick Draw, base attack bonus +6",Throw a weapon as part of a charge,Fighter Feat,Miniatures Handbook,
Ignore Special Requirements,Soul binding,Ignore special requirements when summoning vestiges,,Tome of Magic,
Improved Binding,Soul binding,\+2 binder level when determining eligible vestiges,,Tome of Magic,
Improved Buckler Defense,Shield Proficiency,Apply buckler's shield bonus to AC while using off-hand weapon,Fighter Feat,Complete Warrior,
Improved Bull Rush,Power Attack,\+4 bonus on bull rush attempts; no attack of opportunity,Fighter Feat,Player's Handbook,
Improved Combat Expertise,"Int 13, Combat Expertise, base attack bonus +6",Reduce your attack bonus to improve your AC,Fighter Feat,Complete Warrior,
Improved Counterspell,-,Counterspell with spell of same school,,Player's Handbook,
Improved Critical,"Proficient with weapon, base attack bonus +8",Double threat range of weapon,"Fighter Feat, Multiple",Player's Handbook,
Improved Disarm,Combat Expertise,\+4 bonus on disarm attemps; no attack of opportunity,"Fighter Feat, Monk Feat",Player's Handbook,
Improved Diversion,Bluff 4 ranks,"Use Bluff to create a diversion, then Hide as a move action",Fighter Feat,Complete Adventurer,
Improved Dragon Wings,"Dragonblood subtype, Dragon Wings, 6 HD",Gain fly speed,,Races of the Dragon,
Improved Familiar,"Ability to acquire a new familiar, compatible alignment, sufficient arcane spellcaster level and base attack bonus",Gain a more combat-oriented familiar,,Complete Warrior,
Improved Familiar,Special,,,Tome and Blood,
Improved Favored Enemy,"Favored enemy ability, base attack bonus +5",\+3 bonus on damage against favored enemies,,Complete Warrior,
Improved Feint,Combat Expertise,Feint in combat as a move action,Fighter Feat,Player's Handbook,
Improved Flight,Ability to fly,Flight maneuverability improves by one step,,Complete Adventurer,
Improved Flight,Natural fly speed,Maneuverability class improves by one category,,Races of the Wild,
Improved Grapple,"Dex 13, Improved Unarmed Strike",\+4 bonus on grapple checks; no attack of opportunity,"Fighter Feat, Monk Feat",Player's Handbook,
Improved Initiative,-,\+4 bonus on initiative checks,,Player's Handbook,
Improved Maneuverability,"Fly speed 150, Hover or Wingover",Maneuverability improved one step,Stackable,Draconomicon,
Improved Mounted Archer,"Ride 1 rank, Mounted Archery, Mounted Combat",Reduce or eliminate attack penalties with ranged weapon while mounted,Fighter Feat,Complete Warrior,
Improved Oneiromancy,"Oneiromancy, Dreamtelling, spellcaster",Gain access to new dream-related spells,,Heroes of Horror,
Improved Overrun,Power Attack,\+4 bonus on overrun attempts; no attack of opportunity,Fighter Feat,Player's Handbook,
Improved Precise Shot,"Dex 19, Point Blank Shot, Precise Shot, base attack bonus +11",Ignore less than total cover/concealment on ranged attack,Fighter Feat,Player's Handbook,
Improved Rapid Shot,"Manyshot, Point Blank Shot, Rapid Shot",Ignore -2 penalty when using Rapid Shot,Fighter Feat,Complete Warrior,
Improved Rock Hurling,"Str 23, Rock Hurling, size Large or larger",Throw rocks farther and more accurately,,Races of Stone,
Improved Shield Bash,Shield Proficiency,Retain shield bonus to AC when shield bashing,Fighter Feat,Player's Handbook,
Improved Shield Bash,"Strength 13+, Power Attack",,,Defenders of the Faith,
Improved Shieldmate,"Shieldmate, base attack bonus +4",Bonus from Shieldmate increases by +1,Fighter Feat,Miniatures Handbook,
Improved Sigil (Aesh),"Illumian, aesh power sigil",Bonus on melee weapon damage with Weapon Focus,,Races of Destiny,
Improved Sigil (Hoon),"Illumian, hoon power sigil","Bonus on saves against death effects, massive damage, and some environmental effects",,Races of Destiny,
Improved Sigil (Krau),"Illumian, krau power sigil",You can cast some spells at higher CL,,Races of Destiny,
Improved Sigil (Naen),"Illumian, naen power sigil",Bonus on saves against illusions and language-dependent effects,,Races of Destiny,
Improved Sigil (Uur),"Illumian, uur power sigil",Bonus on ranged weapon damage against targets denied Dex bonus,,Races of Destiny,
Improved Sigil (Vaul),"Illumian, vaul power sigil",Bonus on saving throws against mind-affecting spells and abilities,,Races of Destiny,
Improved Skirmish,Skirmish +2d6/+1 AC,"Move 20 feet to gain +2d6 points of damage, +2 AC",Scout Feat,Complete Scoundrel,
Improved Smiting,"Cha 13, smite ability",Your smite gains an alignment for overcoming DR and +1d6 damage,,Complete Divine,
Improved Sunder,Power Attack,\+4 bonus on sunder attempts; no attack of opportunity,Fighter Feat,Player's Handbook,
Improved Swimming,Swim 6 ranks,Double your swimming speed,,Complete Adventurer,
Improved Toughness,Base Fortitude save bonus +2,Gain hp equal to you current HD,Fighter Feat,Complete Warrior,
Improved Trip,Combat Expertise,\+4 bonus on trip attempts; no attack of opportunity,"Fighter Feat, Monk Feat",Player's Handbook,
Improved Turning,Ability to turn or rebuke creatures,\+1 level for turning checks,,Player's Handbook,
Improved Two-Weapon Defense,"Dex 17, Two-Weapon Defense, Two-Weapon Fighting, base attack bonus +6",Gain shield bonus when fighting with two weapons,Fighter Feat,Complete Warrior,
Improved Two-Weapon Fighting,"Dex 17, Two-Weapon Fighting, base attack bonus +6",Gain second off-hand attack,Fighter Feat,Player's Handbook,
Improved Unarmed Strike,-,Considered armed even when unarmed,"Fighter Feat, Monk Feat",Player's Handbook,
Improved Weapon Familiarity,Base attack bonus +1,"Racial weapons are martial, not exotic",Fighter Feat,Complete Warrior,
Improved Weapon Familiarity,Base attack bonus +1,"Racial weapons are martial, not exotic",Fighter Feat,Races of Stone,
Indomitable Soul,"Endurance, Iron Will",Roll twice against fear and mind-affecting attacks,,Player's Handbook II,
Innate Spell,"Quicken Spell, Silent Spell, Still Spell",,Multiple,Tome and Blood,
Innate Spell ,"Quicken Spell, Silent Spell, Still Spell",Use spell as a spell-like ability once per round,Multiple,Complete Arcane,
Inside Connection,-,\+4 bonus on checks to interact with a specific organization,Multiple,Races of Destiny,
Insightful,-,"Use detect magic, detect secret doors, read magic as spell-like abilities 1/day",,Complete Arcane,
Insightful Divination,Spell Focus (divination) or diviner level 1st,"Gain bonus on initiative, save when casting divination spell",Wizard Feat,Complete Mage,
Insightful Reflexes,-,"Add int modifier, rather than Dex modifier, to Reflex saves",,Complete Adventurer,
Instantaneous Rage,Rage or frenzy ability,Rage even when it isn't your turn,,Complete Warrior,
Intimidating Rage,Rage or frenzy ability,Cause single foe within 30 feet to become shaken,,Complete Warrior,
Intimidating Strike,Intimidate 4 ranks,Use Intimidate check with attack to shake opponent,Fighter Feat,Player's Handbook II,
Investigator,-,\+2 bonus on Gather Information and Search checks,,Player's Handbook,
Iron Will,-,\+2 bonus on Will saves,,Player's Handbook,
Ironheart Aura,One Iron Heart stance,Adjacent allies gain +2 bonus on saves while you are in an Iron Heart stance,,Tome of Battle,
Jack of All Trades,"Int 13, Spot 10 ranks, Combat Expertise, sneak attack","Use any skill, even ""Trained Only"" ones",,Complete Adventurer,
Karmic Strike,"Dex 13, Combat Expertise, Dodge",Take -4 penalty to AC to make attack of opportunity against melee opponent that hits you,,Complete Warrior,
Keen-Eared Scout,"Listen 6 ranks, Alertness or Skill Focus (Listen)",Listen check reveals extra information about sound,,Player's Handbook II,
Ki Blast,"Dex 13, Wis 13, Fiery Fist, Improved Unarmed Strike, Stunning Fist, base attack bonus +8",Expend Stunning Fist uses to throw ball of ki energy,"Fighter Feat, Monk Feat",Player's Handbook II,
Kiai Shout,"Cha 13, base attack bonus +1",Affected Opponents become shaken for 1d6 rounds,,Complete Warrior,
Killoren Ancient,Killoren,\+4 insight bonus to knowledge skill,,Races of the Wild,
Killoren Destroyer,Killoren,Daze foes with your killoren smite attack,,Races of the Wild,
Killoren Hunter,Killoren,Pinpoint the location of living creatures,,Races of the Wild,
Knockback,"Improved Bull Rush, Power Attack, size Large or larger",Push foes backward with your blows,Fighter Feat,Races of Stone,
Kobold Endurance,Kobold,"\+4 bonus on Str checks, Con checks, and related checks",,Races of the Dragon,
Kobold Foe Strike,Kobold,"\+1d6 damage against flanked or flat-footed dwarves, fey, and gnomes",Fighter Feat,Races of the Dragon,
Large and in Charge,"Natural reach 10 feet, size Large or larger",Push back foe attempting to close,,Draconomicon,
Leadership,Character Level 6th,Attract cohort and followers,,Player's Handbook,
Leap Attack,"Jump 8 ranks, Power Attack",Doubles damage by Power Attack on successful charge,,Complete Adventurer,
Leap of the Heavens,Jump 4 ranks,"Don't double DC for standing jumps, +5 bonus on running jumps",,Player's Handbook II,
Lightfeet,"Elf, Dex 13, Balance 2 ranks, Move Silently 2 ranks","Move quietly, leaving behind few traces",,Races of the Wild,
Lightning Reflexes,-,\+2 bonus on Reflex saves,,Player's Handbook,
Lingering Song,Bardic music,Extend the duration of your bardic music effects,,Complete Adventurer,
Lunging Strike,Base attack bonus +6,Extend reach of one attack,Fighter Feat,Player's Handbook II,
Lurking Familiar,"Combat Familiar, arcane caster level 6th",Familiar can hide in your square,,Player's Handbook II,
Mad Foam Rager,Rage or frenzy ability,"Once per rage or frenzy, delay spell or attack effect",,Player's Handbook II,
Mage Slayer,"Spellcraft 2 ranks, base attack bonus +3",\+1 bonus on Will saves; spellcasters you threaten can't cast defensively,Fighter Feat,Complete Arcane,
Mage Slayer,"Spellccraft 2 ranks, base attack bonus +3",\+1 bonus on Will saves; spellcasters you threaten cannot cast defensively,,Miniatures Handbook,
Magic Device Attunement,Use Magic Device 1 rank,Attune to item to avoid making Use Magic Device checks,,Complete Mage,
Magic of the Land,"Ability to cast 1st-level spells, Concentration 5 ranks, Knowledge (nature) 5 ranks, Spellcraft 5 ranks","Draw on nature's power to infuse your spells with positive energy, curing 2 points of damage per spell level",,Races of the Wild,
Magical Aptitude,-,\+2 bonus on Spellcraft and Use Magic Device checks,,Player's Handbook,
Maiming Strike,"Evil, sneak attack +2d6",Sacrifice 2d6 sneak attacck damage to deal 1 Cha damage,,Exemplars of Evil,
Malign Spell Focus,Any evil alignment,,,Book of Vile Darkness,
Manyshot,"Dex 17, Point Blanks Shot, Rapid Shot, base attack bonus +6",Shoot two or more arrows simultaneously,Fighter Feat,Player's Handbook,
Markings of the Blessed,"Goliath, Auspicious Marking",Choose higher of two saving throw rolls,,Races of Stone,
Markings of the Hunter,"Goliath, Auspicious Marking",Choose higher of two initiative checks,,Races of Stone,
Markings of the Magi,"Goliath, Auspicious Marking",Choose higher of two caster level checks,,Races of Stone,
Markings of the Maker,"Goliath, Auspicious Marking",Choose higher of two skill checks,,Races of Stone,
Markings of the Warrior,"Goliath, Auspicious Marking",Choose higher of two attack rolls,,Races of Stone,
Martial Stalker,"Proficiency with all martial weapons, ki power","Fighter and ninja levels stack for ki pool, AC bonus, and feats",Fighter Feat,Complete Scoundrel,
Martial Stance,One Martial maneuver,Learn one martial stance,Fighter Feat,Tome of Battle,
Martial Study,-,Gain the use of a martial maneuver,"Fighter Feat, Stackable",Tome of Battle,
Martial Throw,"Dex 17, Improved Unarmed Strike",Special grapple to switch places with enemy,Fighter Feat,Miniatures Handbook,
Martial Weapon Proficiency,-,No penalty on attacks with specific martial weapon,Multiple,Player's Handbook,
Mask of Gentility,"Cha 15, Bluff 9 ranks, Disguise 9 ranks",Defeat divination attempts and make it harder to discern your motives,,Exemplars of Evil,
Master Manipulator,"Cha 13, Diplomacy 9 ranks",Gain two new uses of Diplomacy skill,,Player's Handbook II,
Master of Knowledge,-,\+1 bonus on Knowledge skill checks,,Heroes of Horror,
Master of Undeath,Knowledge (religion) 5 ranks,Control one additional undead that you create,,Complete Mage,
Master Spellthief,"Ability to cast 2nd-level arcane spells, steal spell",Spellthief and arcane spellcaster levels stack for steal spell and arcane caster level; cast arcane spells in light armor,,Complete Scoundrel,
Maximize Spell-Like Ability,Spell-like ability at caster level 6th or higher,Maximize spell-like ability's variable numeric effects up to 3/day,Multiple,Complete Arcane,
Melee Evasion,"Dex 13, Int 13, Combat Expertise, Dodge","While fighting defensively, negate foe's attack",Fighter Feat,Player's Handbook II,
Melee Weapon Mastery,"Proficiency with selected weapon, Weapon Focus with selected weapon, Weapon Specialization with selected weapon, base attack bonus +8","Gain Weapon Focus, Weapon Specialization benefits with multiple weapons","Fighter Feat, Multiple",Player's Handbook II,
Melodic Casting,"Perform 4 ranks, Spellcraft 4 ranks, bardic music class feature","Use Perform in place of Concentration, cast spells while using bardic music",,Complete Mage,
Menacing Demeanor,Orc blood or orc subtype,You gain a +4 bonus on Intimidate checks,,Races of Destiny,
Mental Resistance,Base Will save bonus +2,Gain mental resistance to some damaging powers,,Expanded Psionics Handbook,
Metamagic School Focus,Spell Focus (chosen school) or specialist wizard,Reduce the cost of adding metamagic feats to spells of  chosen school of magic,"Wizard Feat, Multiple",Complete Mage,
Metamagic Spell Trigger,"Any metamagic feat, Use Magic Device or Spellcraft 15 ranks",Use metamagic feats with spell trigger items,,Complete Mage,
Mind over Body,Con 13,Heal ability damage more quickly,,Expanded Psionics Handbook,
Minor Utterance of the Evolving Mind,Truespeak 6 ranks,Learn one 1st-level utterance,Multiple,Tome of Magic,
Mobile Spellcasting,Concentration 8 ranks,Cast a spell and move at the same time,,Complete Adventurer,
Mobility,Dodge,\+4 dodge bonus to AC against some attacks of opportunity,Fighter Feat,Player's Handbook,
Monkey Grip,Base attack bonus +1,Use larger melee weapons at -2 penalty,,Complete Warrior,
Moradin's Smile,Dwarf,Gain +2 bonus on all Cha-based skill checks,,Races of Stone,
Mortalbane,-,,Stackable,Book of Vile Darkness,
Mountain Warrior,"Survival 5 ranks, base attack bonus +3","Gain +1 bonus on melee damage, +1 bonus on ranged attacks with higher ground, negate opponent's bonus, and +2 bonus on Balance checks on slopes",Fighter Feat,Races of Stone,
Mounted Archery,Mounted Combat,Half penalty for ranged attacks while mounted,Fighter Feat,Player's Handbook,
Mounted Casting,"Ride 1 rank, Mounted Combat",\+10 on Concentration checks to cast while mounted,,Miniatures Handbook,
Mounted Combat,Ride 1 rank,Negate hits on mount with Ride check,Fighter Feat,Player's Handbook,
Mounted Mobility,"Mounted Combat, Ride 4 ranks",\+4 dodge bonus to AC against some attacks of opportunity while mounted,Fighter Feat,Heroes of Battle,
Natural Bond,Animal companion,Add +3 to effective druid level when determining animal companion's ability,,Complete Adventurer,
Natural Leader,Cha 13,\+4 bonus on rally checks,,Heroes of Battle,
Natural Spell,"Wis 13, Ability to use wild shape",Cast spells while in wild shape,,Player's Handbook,
Natural Trickster,"Gnome, Cha 13",Gain 1st-level illusion spell as spell-like ability,Multiple,Races of Stone,
Necropolis Born,-,"Use cause fear, ghost sound, touch of fatigue as spell-like abilities 1/day",,Complete Arcane,
Negotiator,-,\+2 bonus on Diplomacy and Sense Motive checks,,Player's Handbook,
Neraph Charge,"Wis 15, Knowledge (the planes) 5 ranks",Camouflage your charge attack so foe loses Dex bonus to AC,,Planar Handbook,
Neraph Throw,"Dex 15, Knowledge (the planes) 5 ranks",Camouflage your thrown attack so foe loses Dex bonus to AC,,Planar Handbook,
Night Haunt,-,"Use dancing lights prestidigitation, unseen servant as spell-like abilities 1/day",,Complete Arcane,
Nimble Fingers,-,\+2 bonus on Disable Device and Open Lock checks,,Player's Handbook,
Nocturnal Caster,Ability to cast mysteries or a spell with the darkness descriptor,You gain extra power at night,"Shadowcaster Feat, Multiple",Tome of Magic,
Nonverbal Spell,-,Cast spells that have verbal components without uttering verbal components,,Planar Handbook,
Obscure Lore,Bardic music or lore,Gain +4 bonus on bardic knowledge or lore checks,,Complete Adventurer,
Obscure Personal Truename,-,Your personal truename is hard to pronounce and difficult to uncover through research,,Tome of Magic,
Obtain Familiar,"Knowledge (arcana) 4 ranks, arcane caster level 3rd",Obtain a familiar in the same manner as a sorcerer or wizard,,Complete Arcane,
Oneiromancy,"Dreamtelling, spellcaster","Avoid casting mishaps in nightmare realms, gain Spell Focus (enchantment and illusion) in dreamscape, spells cast at dream selves deal nonlethal damage",,Heroes of Horror,
Open Minded,-,Immediately gain 5 skill points,Stackable,Complete Adventurer,
Open Minded,-,\+5 skill points,Stackable,Expanded Psionics Handbook,
Overhead Thrust,"Close-Quarters Fighting, Power Attack, base attack bonus +6",Make attack of opportunity against foe attacking from above,,Draconomicon,
Oversized Two-Weapon Fighting,"Str 13, Two-Weapon Fighting",Treat one-handed weapon in off hand as if light weapon,Fighter Feat,Complete Adventurer,
Overwhelming Assault,Base attack bonus +15,Gain bonus against adjacent foe not attacking you,,Player's Handbook II,
Path Focus,-,\+1 bonus to CL and save DCs for a specific path or school,"Shadowcaster Feat, Multiple",Tome of Magic,
Penetrating Shot,"Str 15, Point Blank Shot, base attack bonus +10",Your ranged attack targets every foe in 60-ft. line,Fighter Feat,Player's Handbook II,
Personal Touchstone,"Planar Touchstone, Knowledge (the planes) 8 ranks, object from planar touchstone site",Double the uses of planar touchstone higher-order ability,Multiple,Planar Handbook,
Personal Truename Backlash,"Obscure Personal Truename, 15 HD",Those who fail to say your personal truename might take damage,,Tome of Magic,
Persuasive,-,\+2 bonus on Bluff checks and Intimidate checks,,Player's Handbook,
Phalanx Fighting,"Proficiency with a heavy shield, base attack bonus +1",Bonus to AC and Reflex saves while fighting in shield wall,Fighter Feat,Complete Warrior,
Pierce Magical Concealment,"Con 13, Blind-Fight, Mage Slayer",Ignore spell-based concealment of creatures you attack,Fighter Feat,Complete Arcane,
Pierce Magical Protection,"Con 13, Mage Slayer",Ignore spell-based bonuses to Armor Class,Fighter Feat,Complete Arcane,
Piercing Evocation,Spell Focus (evocation) or evoker level 1st,10 points of energy damage from evocation spells becomes untyped damage,Wizard Feat,Complete Mage,
Piercing Sight,Gnome,Gain +4 bonus on saves to disbelieve illusions,,Races of Stone,
Pin Shield,"Two-Weapon Fighting, base attack bonus +4",Render opponent's shield useless temporarily,,Complete Warrior,
Planar Familiar,"Ability to acquire new familiar, compatible alignment, sufficient arcane spellcaster level, Knowledge (the planes) 5 ranks",Add planar creatures to list of available familiars,,Planar Handbook,
Planar Touchstone,"Knowledge (the planes) 8 ranks, object from touchstone site",Gain base ability for that touchstone,Multiple,Planar Handbook,
Plunging Shot,"Dex 13, Point Blanks Shot",\+1d6 damage against targets below you,,Heroes of Battle,
Plunging Shot,"Dex 13, Point Blank Shot",Deal an additional 1d6 points of damage against targets at least 30 feet below you,,Races of the Wild,
Point Blank Shot,-,\+1 bonus on ranged attack and damage within 30 ft.,Fighter Feat,Player's Handbook,
Poison Expert,"Posion use, Craft (poisonmaking) 8 ranks",Your poisons' save DC is 1 higher,Multiple,Complete Scoundrel,
Poison Immunity,-,,Multiple,Book of Vile Darkness,
Poison Master,"Poison use, Craft (poisonmaking) 8 ranks, Poison Expert",Your poisons deal +1 damage/die,Multiple,Complete Scoundrel,
Power Attack,Str 13,Trade attack bonus for damage (up to base attack bonus),Fighter Feat,Player's Handbook,
Power Climb,"Str 15, fly speed (average maneuverability)",Gain altitude without losing speed,,Draconomicon,
Power Critical,"Weapon Focus with weapon, base attack bonus +4",\+4 bonus to confirm critical with one weapon,"Fighter Feat, Stackable",Complete Warrior,
Power Dive,"Str 15, fly speed (average maneuverability)",Knock down target for extra damage,,Draconomicon,
